,uuid,proj_res,res_polarity,res_subjectivity,res_polarity_label,res_subjectivity_label
0,1,program develop work relationship high offic oversight anticorrupt hoo manag staff level enabl realiz state object also help hoo realiz mani mandat task process strengthen institut function capac significantli led outreach activ rais awar strengthen capac civil societi member activ particip promot good govern,0.43,0.5700000000000001,positive,subjective
1,2,project set legal educ train judg help modern judici system project train assign judg corrupt panel new anticorrupt tribun afghan law,0.009090909090909094,0.48863636363636365,positive,objective
2,3,project reach 37583 particip phase 1 project assess disput disput resolut context disput type caus disput resolut actor relationship develop understand need frame program custom activ project design execut region network meet longstand intract disput south east 303 influenti tribal elder 14 women south everi district region region network meet north 43 elder three target district region south east event result list priorit disput 16 south 13 east roster volunt elder 63 south 61 east collabor tackl disput date program elder contribut resolv 11 longstand intract disput defin could becom destabil,0.0,0.0,neutral,objective
3,4,assess team found develop polit organ whether parti otherwis constrain afghan intern programmat factor afghan side failur rule law afghan govern gave afghan polit organ littl reason develop beyond patronagebas organ therefor encourag corrupt lack effect empow elect govern institut local level exacerb failur establish elect subnat elect govern structur mandat afghan constitut left gap afghan highli central kabulbas govern programmat side team found implement target polit parti develop program littl reason support chang ignor elect offici kabulcentr poorli coordin address polit issu elect offici focus form rather function polit entiti support inconsist addit team found train defici build polit organ overemphas campaign,0.3888888888888889,0.6388888888888888,positive,subjective
4,30,septemb 30 2012 project instal digit record equip 26 courtroom seven court expand number hear held public courtroom continu support mediat program two court support program union albanian judg adopt strategi action plan 20122015 improv financi manag system increas membership 33 tripl budget 60 cso particip capac build workshop anticorrupt introduct justic system also project train 21 journalist law school journalist program launch indepth train program justic report fellow program also pilot continu legal educ cle program lawyer conduct 160 train session 320 particip bar journal launch nation chamber advoc produc three quarterli issu first year final computer searchabl databas unifi suprem court decis develop implement within magistr school,0.11000000000000001,0.33999999999999997,positive,objective
5,5,women council women busi develop commun establish result kci gender train women men activ dynam elect execut committe women council greater workplac equiti women achiev moreov 50 municip staff undertook project manag train project manag institut pmi second year project,0.43333333333333335,0.4666666666666666,positive,objective
6,6,qualiti legisl process improv creat committe support team eight target committe eventu expand support committe hous publiclyavail onlin bill tracker develop improv legisl research capac parliamentarian staff gener public mechan develop improv provinci input budget review process seven prebudget workshop parliamentarian provinci council repres ministri offici support capac commiss review analyz nation budget consolid expenditur revenu report govern improv investigatori oversight visit introduc provinc monitor budget execut well execut perform afghanistan parliamentari institut api launch train conduct legisl process committe procedur legisl research budget process oversight represent report write english inform technolog apap train 3500 parliamentarian staff member civil societi member journalist final project work parliament negoti sign memorandum understand civil societi organ cso allow cso support particip parliamentari process 200 nation interact radio roundtabl inform spot radio newslett radio documentari design produc broadcast promot public knowledg parliament,0.0,0.2833333333333333,neutral,objective
7,7,conduct groundbreak survey 6000 afghan measur percept stabil commun project work 42 percent survey respond report sens stabil exceed project target 35 percent even countrywid percept stabil declin respond call stabil situat accept good rose 56 percent 70 percent march 2011 june 2011 respond call situat kandahar good bad decreas 12 7 percent project post 150 commun develop advisor 94 govern institut train 6500 govern offici help 81 govern institut report publicli servic deliveri improv equip 528 govern offic 202 commun organ basic offic infrastructur suppli 20102011 includ school provinci govern offic district center provinci ministri depart commun center associ youth group sport team project also provid 196 institut inform technolog internet connect 20082009 quickimpact project launch provid tangibl benefit conflictaffect commun complet rehabilit 1300 piec infrastructur includ 37 build 268 kilomet road 436 kilomet irrig canal karez 86 boundari protect wall final project prepar 25 hectar sport field manag grant extend 6 pipe scheme 436 piec infrastructur culvert water divid,0.13749999999999996,0.5177083333333334,positive,subjective
8,8,ramp upsouth activ support municip capit citi six provinc southern afghanistan kandahar citi municip kandahar provinc lashkar gah municip helmand provinc zaranj municip nimroz provinc tirin kot municip uruzgan provinc qalat municip zabul provinc nili municip daikundi provinc ramp upsouth assist target municip develop sustain capac plan fund manag deliv essenti servic requir priorit citizen ramp upsouth work put municip offici forefront plan implement visibl accomplish result hope citizen would gain satisfact trust municip govern ramp south gener 3109522 municip revenu help regist 40595 new busi 157770 land parcel also use integr financi manag system ifm licens record 5463 busi assist 105 prioriti municip servic project,0.06818181818181818,0.22727272727272727,positive,objective
9,9,ramp west assist municip implement 16 key infrastructur servic deliveri project previous identifi citizen urgent need includ construct sidewalk rehabilit road bridg drainag canal build boulevard park lot garbag bin public green space municip manag capac build plan develop municip 200 municip offici train municip financ public administr revenu enhanc busi registr public relat outreach construct manag public work mainten municip offici four partner municip held two budget hear allow citizen input budget prepar process project also support three partner municip hold youth municip seminar bring 145 young peopl togeth govern discuss citi plan touch key issu cleanli citi role youth could play keep citi clean final project help produc servic deliveri improv plan involv citizen express servic needsprior identifi specif project 44 session district level 2650 resid municip use plan budget commiss guid prepar next year budget moreov multistakehold econom develop steer committe establish partner municip facilit inclus develop strateg econom develop plan,0.008333333333333331,0.40277777777777785,positive,objective
