,uuid,proj_desc,polarity,subjectivity,polarity_label,subjectivity_label
0,1,five compon program seek take alreadi exist improv upon implement find way ensur progress achiev sustain long term project help govern islam republ afghanistan strengthen high offic oversight hoo make strong effect institut abl lead monitor coordin report effort combat corrupt across countri project work implement program institut develop sustain also support offic carri prioriti respons asset registr verif complaint manag case track coordin monitor anticorrupt perform across govern agenc,-0.05133333333333333,0.5746666666666667,negative,subjective
1,2,overal goal program support rule law strategi afghanistan specif pillar 1 improv justic sector reduc corrupt pillar 4 build leadership justic sector civil societi support pillar 1 contractor attempt develop capac judiciari law school pillar 4 contractor work rais public awar encourag citizen resolv disput formal justic sector program divid four compon capac build judiciari capac build court manag system capac build faculti law sharia final public legal outreach awar strateg commun,-0.06,0.4666666666666667,negative,objective
2,3,project focus strengthen improv tradit disput resolut mechan strengthen linkag formal inform justic sector develop approach address longstand intract disput,0.0,0.0,neutral,objective
3,4,polit parti assess team aim review materi produc report research academ think tank team interview 120 individu involv afghan polit five citi across countri team found afghanistan signific tradit democraci long stand other past decad elector cycl recent full express tradit found hamper violenc corrupt local interpret islam discourag question mani cultur norm power structur prevent full particip women polit,-0.028124999999999997,0.421875,negative,objective
4,30,justic sector strengthen project promot court transpar fair effici bolster watchdog anticorrupt role civil societi organ media strengthen legal profess legal educ albania project focus improv justic deliveri respond public demand account justic sector,0.27499999999999997,0.3416666666666667,positive,objective
5,5,kabul citi initi kci provid technic materi support kabul municip project work close partnership kabul mayor municip staff enhanc capac kabul municip administr manag function kci aim provid effect respons servic deliveri kabul municip depart offic improv longterm sustain financi viabil kabul municip result kci activ kabul resid busi owner would hope share renew confid local govern abil provid improv municip servic understand respons municip leader play activ role municip decisionmak process,0.0,0.0,neutral,objective
6,6,afghanistan parliamentari assist project apap work establish afghan parliament oper strong effect independ delib bodi project primari object design legisl strengthen strategi help establish develop strong independ effect parliament provid technic assist parliamentari committe strengthen parliament public outreach capac establish support parliamentari budget offic educ institut overal project advanc afghan parliament institut technic polit develop work member upper lower hous parliament staff leadership offic committe addit legisl support apap activ aim improv parliament constitu outreach effort commun inform technolog nation budget review,0.21666666666666665,0.3833333333333333,positive,objective
7,7,project aim includ assess rehabilit commun infrastructur basic vocat train train local govern offici cashforwork activ provis agricultur input equip project facilit engag commun govern offici afghan saw govern respons need extern organ,0.0,0.0625,neutral,objective
8,8,object region afghan municip program urban popul ramp south creat effect respons democrat transpar account gender sensit municip govern target municip throughout countri ramp upsouth work 1 increas capac govern islam republ afghanistan giroa municip offici 2 improv deliveri municip servic citizen target municip 3 increas municip capac enabl support sustain econom growth,0.0,0.0,neutral,objective
9,9,region afghan municip program urban popul region command west ramp west project help govern islam republ afghanistan giroa establish capabl legitim govern municip level four provinci capit isaf region command west herat farah chagcharan qalaenaw primari custom municip officialsmayor revenu offic engineersand citizen benefit municip servic ramp west took learn approach help municip implement visibl servic deliveri improv project project municip offici would improv capac deliv servic would also increas citizen satisfact trust support municip govern embed technic advisor municip staff provid necessari resourc built capac municip staff better perform core manag respons improv servic deliveri support econom develop ensur sound financi manag expand revenu enhanc transpar account,0.3,0.3,positive,objective
