country,duration_mean,duration_min,duration_max,duration_median,topic0_mean,topic0_min,topic0_max,topic0_median,topic1_mean,topic1_min,topic1_max,topic1_median,topic2_mean,topic2_min,topic2_max,topic2_median,topic3_mean,topic3_min,topic3_max,topic3_median,topic4_mean,topic4_min,topic4_max,topic4_median
Iraq,3.625,2,5,3.5,0.03125,0.03,0.04,0.03,0.03125,0.03,0.04,0.03,0.03125,0.03,0.04,0.03,0.14875000000000002,0.03,0.87,0.035,0.7575,0.03,0.89,0.87
Jamaica,6.0,6,6,6.0,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.85,0.85,0.85,0.85
Jordan,3.7142857142857144,2,5,4.0,0.03428571428571429,0.03,0.04,0.03,0.04571428571428572,0.03,0.12,0.03,0.03428571428571429,0.03,0.04,0.03,0.4428571428571429,0.03,0.89,0.42,0.4428571428571429,0.03,0.9,0.47
Kazakhstan,3.75,2,5,4.0,0.037500000000000006,0.03,0.05,0.035,0.037500000000000006,0.03,0.05,0.035,0.037500000000000006,0.03,0.05,0.035,0.7925,0.66,0.87,0.8200000000000001,0.09249999999999999,0.03,0.25,0.045
Kenya,2.75,2,4,2.5,0.04,0.03,0.05,0.04,0.11249999999999999,0.04,0.27,0.07,0.05,0.04,0.07,0.045,0.24250000000000002,0.03,0.84,0.05,0.5525,0.04,0.8,0.685
Kosovo,3.1666666666666665,3,4,3.0,0.03333333333333333,0.03,0.04,0.03,0.03333333333333333,0.03,0.04,0.03,0.03333333333333333,0.03,0.04,0.03,0.3266666666666666,0.03,0.89,0.09,0.575,0.03,0.88,0.815
Kyrgyzstan,3.4285714285714284,2,9,3.0,0.037142857142857144,0.03,0.04,0.04,0.037142857142857144,0.03,0.04,0.04,0.037142857142857144,0.03,0.04,0.04,0.32999999999999996,0.03,0.87,0.04,0.557142857142857,0.03,0.88,0.84
"Kyrgyzstan, Kazakhstan, Tajikistan",5.0,5,5,5.0,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.46,0.46,0.46,0.46,0.45,0.45,0.45,0.45
"Kyrgyzstan, Kazakhstan, Tajikistan, Uzbekistan, Turkmenistan",0.0,0,0,0.0,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.09,0.09,0.09,0.09,0.04,0.04,0.04,0.04,0.8,0.8,0.8,0.8
Laos,4.0,4,4,4.0,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.62,0.62,0.62,0.62,0.29,0.29,0.29,0.29
Lebanon,4.714285714285714,2,10,3.0,0.03571428571428571,0.03,0.05,0.03,0.03571428571428571,0.03,0.05,0.03,0.04,0.03,0.06,0.04,0.2542857142857143,0.03,0.84,0.03,0.6342857142857143,0.04,0.89,0.85
Liberia,3.6666666666666665,2,5,4.0,0.04,0.03,0.05,0.04,0.04,0.03,0.05,0.04,0.04,0.03,0.05,0.04,0.04666666666666667,0.04,0.05,0.05,0.84,0.81,0.87,0.84
Libya,0.0,0,0,0.0,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.61,0.61,0.61,0.61,0.26,0.26,0.26,0.26
Macedonia,4.142857142857143,3,6,4.0,0.03428571428571429,0.03,0.04,0.03,0.038571428571428576,0.03,0.07,0.03,0.038571428571428576,0.03,0.06,0.04,0.35428571428571426,0.03,0.87,0.04,0.5342857142857143,0.03,0.88,0.82
Madagascar,2.0,2,2,2.0,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.85,0.85,0.85,0.85
Malawi,2.0,2,2,2.0,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.84,0.84,0.84,0.84
Mali,5.0,5,5,5.0,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.89,0.89,0.89,0.89
Mexico,5.0,5,5,5.0,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.16499999999999998,0.04,0.29,0.16499999999999998,0.71,0.59,0.83,0.71
Moldova,3.142857142857143,1,5,4.0,0.032857142857142856,0.03,0.04,0.03,0.05,0.03,0.11,0.04,0.032857142857142856,0.03,0.04,0.03,0.3742857142857142,0.03,0.83,0.42,0.5085714285714286,0.03,0.88,0.46
Mongolia,4.75,0,9,5.5,0.03375,0.03,0.04,0.03,0.03375,0.03,0.04,0.03,0.035,0.03,0.04,0.035,0.24000000000000002,0.03,0.86,0.04,0.65625,0.04,0.89,0.85
Montenegro,2.6666666666666665,1,4,3.0,0.03333333333333333,0.03,0.04,0.03,0.03333333333333333,0.03,0.04,0.03,0.11000000000000003,0.03,0.27,0.03,0.3466666666666667,0.04,0.87,0.13,0.47,0.03,0.78,0.6
Morocco,3.5,0,5,4.0,0.043333333333333335,0.03,0.08,0.04,0.043333333333333335,0.03,0.08,0.04,0.14,0.03,0.66,0.04,0.45166666666666666,0.03,0.85,0.46499999999999997,0.325,0.04,0.87,0.065
Mozambique,3.0,3,3,3.0,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.89,0.89,0.89,0.89
Multiple,3.75,0,6,4.5,0.045000000000000005,0.03,0.07,0.04,0.045000000000000005,0.03,0.07,0.04,0.0975,0.03,0.25,0.05500000000000001,0.0475,0.03,0.07,0.045,0.7599999999999999,0.61,0.86,0.7849999999999999
Nepal,3.0,3,3,3.0,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.20333333333333337,0.03,0.55,0.03,0.7066666666666667,0.37,0.88,0.87
Nicaragua,3.2,2,4,3.0,0.038,0.03,0.04,0.04,0.038,0.03,0.04,0.04,0.052000000000000005,0.04,0.1,0.04,0.196,0.03,0.83,0.04,0.682,0.04,0.86,0.84
Nigeria,3.25,1,5,3.5,0.037500000000000006,0.03,0.05,0.035,0.0425,0.03,0.05,0.045,0.05,0.03,0.08,0.045,0.037500000000000006,0.03,0.05,0.035,0.83,0.8,0.87,0.825
Pakistan,4.0,3,5,4.0,0.043333333333333335,0.03,0.06,0.04,0.043333333333333335,0.03,0.06,0.04,0.043333333333333335,0.03,0.06,0.04,0.22666666666666666,0.03,0.59,0.06,0.6433333333333334,0.29,0.87,0.77
Panama,4.0,4,4,4.0,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.83,0.83,0.83,0.83
Paraguay,2.75,2,3,3.0,0.0425,0.03,0.07,0.035,0.20500000000000002,0.03,0.72,0.035,0.0675,0.04,0.09,0.07,0.1325,0.06,0.31,0.08,0.5525,0.07,0.81,0.665
Peru,4.0,3,5,4.0,0.032,0.03,0.04,0.03,0.034,0.03,0.04,0.03,0.032,0.03,0.04,0.03,0.06600000000000002,0.03,0.2,0.03,0.842,0.7,0.89,0.88
Philippines,4.0,2,8,4.0,0.03333333333333333,0.03,0.04,0.03,0.041666666666666664,0.03,0.13,0.03,0.03333333333333333,0.03,0.04,0.03,0.16,0.03,0.88,0.04,0.7324999999999999,0.03,0.88,0.845
Russia,4.6,3,9,4.0,0.034,0.03,0.04,0.03,0.034,0.03,0.04,0.03,0.034,0.03,0.04,0.03,0.284,0.03,0.81,0.04,0.624,0.09,0.89,0.86
Rwanda,0.0,0,0,0.0,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.27,0.27,0.27,0.27,0.05,0.05,0.05,0.05,0.59,0.59,0.59,0.59
SENEGAL,0.0,0,0,0.0,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.1,0.1,0.1,0.1,0.04,0.04,0.04,0.04,0.77,0.77,0.77,0.77
Serbia,4.0,2,5,5.0,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.42799999999999994,0.03,0.86,0.36,0.476,0.04,0.89,0.53
Sierra Leone,3.0,2,4,3.0,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.22499999999999998,0.03,0.42,0.22499999999999998,0.675,0.48,0.87,0.675
Sri Lanka,4.0,2,5,5.0,0.03333333333333333,0.03,0.04,0.03,0.03333333333333333,0.03,0.04,0.03,0.03333333333333333,0.03,0.04,0.03,0.03333333333333333,0.03,0.04,0.03,0.8733333333333334,0.85,0.9,0.87
Thailand,5.0,5,5,5.0,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.9,0.9,0.9,0.9
Turkmenistan,4.0,4,4,4.0,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.85,0.85,0.85,0.85
Uganda,2.5,2,3,2.5,0.04,0.04,0.04,0.04,0.07,0.04,0.1,0.07,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.815,0.79,0.84,0.815
Ukraine,3.375,2,5,3.0,0.035,0.03,0.04,0.035,0.04125000000000001,0.03,0.09,0.035,0.03875000000000001,0.03,0.07,0.035,0.54125,0.03,0.83,0.66,0.33875,0.04,0.88,0.215
Vietnam,3.5,3,4,3.5,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.845,0.84,0.85,0.845,0.04,0.04,0.04,0.04
West Bank and Gaza,4.2,2,6,4.5,0.033999999999999996,0.03,0.05,0.03,0.033999999999999996,0.03,0.05,0.03,0.04700000000000001,0.03,0.16,0.03,0.31299999999999994,0.03,0.88,0.04,0.5800000000000001,0.03,0.9,0.7849999999999999
Yemen,4.0,3,5,4.0,0.036666666666666674,0.03,0.04,0.04,0.036666666666666674,0.03,0.04,0.04,0.09666666666666668,0.03,0.22,0.04,0.036666666666666674,0.03,0.04,0.04,0.7999999999999999,0.65,0.9,0.85
Zambia,2.5,2,3,2.5,0.035,0.03,0.04,0.035,0.035,0.03,0.04,0.035,0.035,0.03,0.04,0.035,0.43,0.03,0.83,0.43,0.45,0.04,0.86,0.45
